NUMBER;NAME;DESIG;FAM;S;CLASS;S;F;DIA;S;H;B;S;F;ALBEDO;F;PERIOD;P;DESC;F;AMIN;AMAX;U;NOTES;BIN;PRI;SAM;SD;WF
26821;Baehr;1988 FM1;EOS;A;S;C;;15.51;M;11.8;;A;;0.14;;6.9;;;;;0.29;3;-;;;;;
26876;1994 CR14;1994 CR14;EOS;A;S;C;;6.07;T;13.84;;A;;0.14;;306.715;;;;;0.54;2;;;;;;Y
27204;1999 CY74;1999 CY74;EOS;A;C;C;;7.77;M;13.3;;A;;0.14;;9.7;;;>;;0.8;2;-;;;;;
27443;* 2000 FH49;2000 FH49;EOS;A;S;C;;7.77;M;13.3;;A;;0.14;S;5.3052;;;;;;2;N;;;Y;;
27508;2000 GS142;2000 GS142;EOS;A;S;C;;8.98;T;12.99;;A;;0.14;;8.222;;;;;0.28;2;;;;;;Y
28399;1999 RY136;1999 RY136;EOS;A;S;C;;4.72;T;14.38;;A;;0.14;;10.802;;;;;0.46;2;;;;;;Y
28595;2000 EP136;2000 EP136;EOS;A;S;C;;5.92;T;13.89;;A;;0.14;>;10;;;>;;0.15;2;-;;;;;Y
28650;2000 GE8;2000 GE8;EOS;A;S;C;;5.82;T;13.93;;A;;0.14;;9.591;;;;0.16;0.8;3;;;;;;
28880;2000 KN46;2000 KN46;EOS;A;S;C;;6.77;M;13.6;;A;;0.14;;6.249;;;;0.76;0.87;2;;;;;;Y
28970;2001 JJ4;2001 JJ4;EOS;A;S;C;;5.16;T;14.19;;A;;0.14;;15.185;;;;;0.69;2;;;;;;Y
29172;1990 QL4;1990 QL4;EOS;A;S;C;;7.04;T;13.51;;A;;0.14;;53.235;;;;;0.41;2;;;;;;Y
29567;1998 FT13;1998 FT13;EOS;A;S;C;;10.73;M;12.6;;A;;0.14;;3.568;;;;;0.57;2;;;;;;Y
29917;1999 JP19;1999 JP19;EOS;A;S;C;;7.31;T;13.43;;A;;0.14;;3.656;;;;;0.5;2;;;;;;Y
29919;* 1999 JD23;1999 JD23;EOS;A;S;C;;8.92;M;13;;A;;0.14;S;9.2674;;;;;;2;N;;;Y;;
30408;* 2000 KW55;2000 KW55;EOS;A;S;C;;6.77;M;13.6;;A;;0.14;S;3.8464;;;;;;2;N;;;Y;;
31095;Buneiou;1997 DH;EOS;A;S;C;;5.12;T;14.21;;A;;0.14;;3.484;;;;;0.18;2;;;;;;Y
31288;* 1998 FZ59;1998 FZ59;EOS;A;S;C;;6.46;M;13.7;;A;;0.14;S;40.2038;;;;;;2;N;;;Y;;
31668;1999 JX3;1999 JX3;EOS;A;S;C;;8.92;M;13;;A;;0.14;;11.71;;;;0.29;0.42;2;;;;;;Y
32011;2000 HF56;2000 HF56;EOS;A;S;C;;7.42;M;13.4;;A;;0.14;;6.382;;;;0.66;0.87;2;;;;;;Y
32412;2000 RW25;2000 RW25;EOS;A;S;C;;7.76;T;13.3;;A;;0.14;;3.838;;;;;0.15;2;;;;;;Y
32526;2001 OD98;2001 OD98;EOS;A;S;C;;7.07;T;13.51;;A;;0.14;;3.89;;;;;0.35;2;;;;;;Y
32600;2001 QF173;2001 QF173;EOS;A;S;C;;4.63;T;14.42;;A;;0.14;;7.855;;;;;0.72;2;;;;;;Y
32602;2001 QE185;2001 QE185;EOS;A;S;C;;9.78;M;12.8;;A;;0.14;;5.928;;;;;0.18;2;;;;;;Y
32990;Sayo-hime;1996 YD3;EOS;A;S;C;;6.06;T;13.84;;A;;0.14;;4.788;;;;;0.5;2;;;;;;Y
33218;* 1998 FO106;1998 FO106;EOS;A;S;C;;7.42;M;13.4;;A;;0.14;S;12.4321;;;;;;2;N;;;Y;;
33272;1998 HC102;1998 HC102;EOS;A;S;C;;6.59;T;13.66;;A;;0.14;;5.867;;;;;0.62;2;;;;;;Y
33295;1998 KV40;1998 KV40;EOS;A;S;C;;4.97;T;14.27;;A;;0.14;;101.321;;;;0.9;0.98;2;;;;;;Y
34384;2000 RW61;2000 RW61;EOS;A;S;C;;7.1;T;13.49;;A;;0.14;;4.003;;;;;0.44;2;;;;Y;;Y
34621;2000 UR55;2000 UR55;EOS;A;S;C;;4.35;T;14.56;;A;;0.14;;6.22;;;;;0.61;2;;;;;;Y
34839;2001 SL263;2001 SL263;EOS;A;S;C;;6.98;T;13.53;;A;;0.14;;16.966;;;;;0.57;2;;;;;;Y
35625;1998 KK8;1998 KK8;EOS;A;S;C;;5.65;T;13.99;;A;;0.14;;10.057;;;;;0.31;2;;;;;;Y
36059;1999 RT39;1999 RT39;EOS;A;S;C;;5.11;T;14.21;;A;;0.14;;28.382;;;;;0.64;2;;;;;;Y
36170;1999 RC242;1999 RC242;EOS;A;S;C;;5.73;T;13.96;;A;;0.14;;2.907;;;;;0.22;2;;;;;;Y
36198;1999 TF92;1999 TF92;EOS;A;S;C;;9.34;M;12.9;;A;;0.14;;10.643;;;;;0.29;3;;;;;;
36936;2000 SF227;2000 SF227;EOS;A;S;C;;6.45;T;13.71;;A;;0.14;;6.525;;;;0.49;0.56;2;;;;;;Y
37506;3107 T-2;3107 T-2;EOS;A;S;C;;5.84;T;13.92;;A;;0.14;;5.044;;;;;0.62;2;;;;;;Y
38405;1999 RS202;1999 RS202;EOS;A;S;C;;4.38;T;14.54;;A;;0.14;;8.831;;;;;0.37;2;;;;;;Y
38910;2000 SA178;2000 SA178;EOS;A;S;C;;4.69;T;14.4;;A;;0.14;;6.397;;;;;0.22;2;;;;;;Y
39431;5178 T-2;5178 T-2;EOS;A;S;C;;4.46;T;14.51;;A;;0.14;;9.534;;;;;0.3;2;;;;;;Y
39886;* 1998 EL12;1998 EL12;EOS;A;S;C;;8.14;M;13.2;;A;;0.14;S;3.5305;;;;;;2;N;;;Y;;
40104;1998 QE4;1998 QE4;EOS;A;S;C;;6.76;T;13.6;;A;;0.14;;4.475;;;;;0.6;2;;;;Y;Y;
40129;* 1998 QY45;1998 QY45;EOS;A;S;C;;6.77;M;13.6;;A;;0.14;S;7.8973;;;;;;2;N;;;Y;;
41051;1999 VR10;1999 VR10;EOS;A;S;C;;10.24;M;12.7;;A;;0.14;;4.04;;;;;0.55;2;+;;;Y;;
41308;1999 XA154;1999 XA154;EOS;A;S;C;;8.72;T;13.05;;A;;0.14;;5.04;;;;;0.16;2;;;;;;Y
41919;2000 WW156;2000 WW156;EOS;A;S;C;;4.31;T;14.58;;A;;0.14;;10.964;;;;;0.3;2;;;;;;Y
41953;2000 XK16;2000 XK16;EOS;A;S;C;;3.69;T;14.92;;A;;0.14;;6.014;;;;;0.49;2;;;;;;Y
42259;2001 OD81;2001 OD81;EOS;A;S;C;;9.01;T;12.98;;A;;0.14;;4.826;;;;0.31;0.32;2;;;;;;Y
42265;2001 QL69;2001 QL69;EOS;A;S;C;;7.42;M;13.4;;A;;0.14;;8.6;;;;;0.85;2;;;;Y;;
42314;2001 VQ121;2001 VQ121;EOS;A;S;L;;4.45;L;14.66;;L;;0.1218;;9.4;;;;;1;1;+;;;;;
43218;* 2000 AE143;2000 AE143;EOS;A;S;C;;8.14;M;13.2;;A;;0.14;S;3.4644;;;;;;2;N;;;Y;;
44295;1998 QU89;1998 QU89;EOS;A;S;C;;8.29;T;13.16;;A;;0.14;;6.62;;;;;0.84;2;+;;;;;Y
44417;1998 SS146;1998 SS146;EOS;A;S;C;;6.61;T;13.65;;A;;0.14;;7.632;;;;;0.8;2;;;;Y;;Y
44510;1998 XB51;1998 XB51;EOS;A;S;C;;6.61;T;13.65;;A;;0.14;;2.33;;;;;0.19;2;-;;;;;Y
45068;1999 XA34;1999 XA34;EOS;A;S;C;;7.14;T;13.48;;A;;0.14;;5.043;;;;;0.31;2;;;;;;Y
45408;2000 AO142;2000 AO142;EOS;A;S;C;;7.02;T;13.52;;A;;0.14;;5.385;;;;;0.28;2;;;;;;Y
45410;* 2000 AA144;2000 AA144;EOS;A;S;C;;7.77;M;13.3;;A;;0.14;S;7.4819;;;;;;2;N;;;Y;;
45466;* 2000 AZ201;2000 AZ201;EOS;A;S;C;;8.14;M;13.2;;A;;0.14;S;7.5867;;;;;;2;N;;;Y;;
45636;2000 EG12;2000 EG12;EOS;A;S;C;;4.81;T;14.34;;A;;0.14;;3.71;;;;;0.58;2;;;;;;Y
45671;2000 EA104;2000 EA104;EOS;A;S;C;;7.27;T;13.44;;A;;0.14;;5.417;;;;;0.24;2;;;;;;Y
45686;2000 EM139;2000 EM139;EOS;A;S;C;;5.51;T;14.05;;A;;0.14;;7.507;;;;;0.59;2;;;;;;Y
45752;2000 JY70;2000 JY70;EOS;A;S;C;;6.19;T;13.79;;A;;0.14;;361.985;;;;;0.48;2;;;;;;Y
46725;1997 SS13;1997 SS13;EOS;A;S;C;;5.63;T;14;;A;;0.14;;8.14;;;;;0.19;2;-;;;;;Y
47608;2000 AE243;2000 AE243;EOS;A;S;C;;7.6;T;13.35;;A;;0.14;;9.128;;;;;0.38;2;;;;;;Y
47819;2000 EJ91;2000 EJ91;EOS;A;S;C;;6.46;M;13.7;;A;;0.14;;5.08;;;;0.44;0.51;3;-;;;;;Y
47865;2000 FK3;2000 FK3;EOS;A;S;C;;5.74;T;13.96;;A;;0.14;;3.549;;;;;0.39;2;;;;;;Y
48835;1997 YK18;1997 YK18;EOS;A;S;C;;5.48;T;14.06;;A;;0.14;;32;;;;;0.38;2;;;;;;Y
49597;1999 FY12;1999 FY12;EOS;A;S;C;;4.9;M;14.3;;A;;0.14;;6.368;;;;0.67;0.73;2;;;;;;Y
49628;* 1999 GV16;1999 GV16;EOS;A;S;C;;10.24;M;12.7;;A;;0.14;S;3.568;;;;;;2;N;;;Y;;
49671;1999 RP46;1999 RP46;EOS;A;S;C;;7.14;T;13.48;;A;;0.14;;700.072;;;;;0.68;2;;;;;;Y
50827;2000 FN37;2000 FN37;EOS;A;C;C;;5.38;M;14.1;;A;;0.14;;2.68;;;;;0.2;2;;;;;;Y
50960;2000 GN82;2000 GN82;EOS;A;S;C;;4.77;T;14.36;;A;;0.14;;12.15;;;;;0.4;2;-;;;;;Y
51035;2000 GO124;2000 GO124;EOS;A;S;C;;4.31;T;14.58;;A;;0.14;;14.401;;;;;0.32;2;;;;;;Y
53790;2000 EV105;2000 EV105;EOS;A;S;C;;3.84;T;14.83;;A;;0.14;;9.6;;;;;0.36;2;+;;;;;Y
54579;2000 QA165;2000 QA165;EOS;A;S;C;;5.13;M;14.2;;A;;0.14;;4.76;;;;;0.3;2;;;;;;Y
54606;* 2000 RA28;2000 RA28;EOS;A;S;C;;6.77;M;13.6;;A;;0.14;S;5.0757;;;;;;2;N;;;Y;;
55097;2001 QT132;2001 QT132;EOS;A;S;C;;5.38;T;14.1;;A;;0.14;;4.37;;;;0.44;0.46;2;;;;;;Y
56208;1999 GY35;1999 GY35;EOS;A;S;C;;6.46;M;13.7;;A;;0.14;;8.664;;;;;0.42;2;;;;;;Y
56264;1999 JV95;1999 JV95;EOS;A;S;C;;4.68;M;14.4;;A;;0.14;;17.3;;;;;0.69;2;;;;;;Y
58798;1998 FU100;1998 FU100;EOS;A;S;C;;4.46;T;14.51;;A;;0.14;;31.497;;;;;0.69;2;;;;;;Y
61907;2000 QK230;2000 QK230;EOS;A;S;C;;4.08;M;14.7;;A;;0.14;;6.44;;;;;0.65;2;+;;;;;
62348;2000 SB142;2000 SB142;EOS;A;S;C;;4.78;T;14.36;;A;;0.14;;7.889;;;;;0.58;2;;;;;;Y
62376;2000 SU153;2000 SU153;EOS;A;S;C;;4.68;M;14.4;;A;;0.14;;17.6;;;;;0.06;1;;;;;;
62781;2000 UE23;2000 UE23;EOS;A;S;C;;4.08;M;14.7;;A;;0.14;;28.94;;;;;1.1;1;NA;;;;;
63475;2001 OB32;2001 OB32;EOS;A;S;C;;4.68;T;14.4;;A;;0.14;;12.47;;;;;0.22;2;;;;;;Y
65739;1993 SG13;1993 SG13;EOS;A;C;C;;4.9;M;14.3;;A;;0.14;;2.8;;;;;0.4;2;-;;;;;
66076;1998 RD53;1998 RD53;EOS;A;S;C;;7.77;M;13.3;;A;;0.14;S;8.9386;;;;;;2;N;;;Y;Y;
72451;2001 DW5;2001 DW5;EOS;A;S;C;;3.72;T;14.9;;A;;0.14;;8.21;;;;;0.93;2;;;;;;Y
74355;1998 WJ12;1998 WJ12;EOS;A;S;L;;4.45;L;14.76;;L;;0.1115;;2.8;;;;;0.15;1;N;;;;;
76136;2000 EF12;2000 EF12;EOS;A;S;C;;3.5;T;15.04;;A;;0.14;;6.064;;;;0.53;0.57;2;;;;;;Y
76471;2000 FD57;2000 FD57;EOS;A;S;C;;4.88;T;14.31;;A;;0.14;;2.942;;;;;0.26;2;;;;;;Y
76557;2000 GB95;2000 GB95;EOS;A;S;C;;4.27;M;14.6;;A;;0.14;;7.967;;;;0.46;0.48;2;;;;;;Y
77572;2001 KL10;2001 KL10;EOS;A;S;C;;4.14;T;14.66;;A;;0.14;;3.61;;;;;0.53;2;;;;;;Y
77759;2001 PY36;2001 PY36;EOS;A;S;C;;6.17;M;13.8;;A;;0.14;;5.102;;;;0.61;0.65;2;;;;;;Y
78212;2002 OB1;2002 OB1;EOS;A;S;C;;3.53;T;15.01;;A;;0.14;;4.746;;;;;0.26;2;;;;;;Y
78237;2002 OL20;2002 OL20;EOS;A;S;C;;2.76;T;15.55;;A;;0.14;;223.743;;;;;0.61;2;;;;;;Y
78404;2002 QG14;2002 QG14;EOS;A;S;C;;3.92;T;14.79;;A;;0.14;;50.982;;;;;0.55;2;;;;;;Y
78487;2002 RO59;2002 RO59;EOS;A;S;C;;2.81;T;15.51;;A;;0.14;;3.279;;;;;0.46;2;;;;;;Y
83241;2001 RH52;2001 RH52;EOS;A;S;C;;4.08;M;14.7;;A;;0.14;;3.465;;;;;0.56;2;;;;;;Y
83323;2001 RE125;2001 RE125;EOS;A;S;C;;2.53;T;15.73;;A;;0.14;;3.15;;;;0.38;0.39;2;;;;;;Y
83459;2001 SS64;2001 SS64;EOS;A;S;C;;4.04;T;14.72;;A;;0.14;;5.55;;;;;0.59;2;;;;;;Y
86106;1999 RP113;1999 RP113;EOS;A;S;C;;4.44;T;14.51;;A;;0.14;;975.095;;;;;0.74;2;;;;;;Y
86120;1999 RM140;1999 RM140;EOS;A;S;C;;3.9;T;14.8;;A;;0.14;;30.364;;;;;0.32;2;;;;;;Y
86128;1999 RC154;1999 RC154;EOS;A;S;C;;5.08;T;14.22;;A;;0.14;;147.684;;;;;0.89;2;;;;;;Y
87228;2000 OD42;2000 OD42;EOS;A;S;C;;7.42;M;13.4;;A;;0.14;;18.18;;;;;1.8;2;;;;;;
90431;2004 BY55;2004 BY55;EOS;A;S;C;;3.18;T;15.24;;A;;0.14;;12.296;;;;;0.93;2;;;;Y;;Y
91511;1999 RJ163;1999 RJ163;EOS;A;S;C;;4.61;T;14.43;;A;;0.14;;6.512;;;;;0.66;2;;;;;;Y
91545;1999 RT209;1999 RT209;EOS;A;S;C;;4.92;T;14.29;;A;;0.14;;6.21;;;;;0.56;2;;;;;;Y
93754;2000 WZ6;2000 WZ6;EOS;A;S;C;;4.07;T;14.71;;A;;0.14;;6.743;;;;;0.38;2;;;;;;Y
95600;2002 FK27;2002 FK27;EOS;A;S;C;;3.31;T;15.15;;A;;0.14;;6.783;;;;;0.61;2;;;;;;Y
97163;1999 VO186;1999 VO186;EOS;A;S;C;;5.08;T;14.22;;A;;0.14;;8.314;;;;;0.36;2;;;;;;Y
99674;2002 JN11;2002 JN11;EOS;A;S;C;;3.39;T;15.1;;A;;0.14;;7.42;;;;;0.75;1;DA;;;;;Y
104374;* 2000 FN30;2000 FN30;EOS;A;S;C;;4.27;M;14.6;;A;;0.14;S;11.6435;;;;;;2;N;;;Y;;
105612;2000 RT99;2000 RT99;EOS;A;C;L;;5.45;L;14.45;;L;;0.0985;;;;;;;;;N;;;;;
106021;2000 SX294;2000 SX294;EOS;A;S;C;;4.48;T;14.5;;A;;0.14;;9.873;;;;;0.76;2;;;;;;Y
106408;2000 VK30;2000 VK30;EOS;A;S;C;;3.07;T;15.32;;A;;0.14;;4;;;;;0.75;2;;;;;;Y
109587;2001 QJ277;2001 QJ277;EOS;A;S;C;;3.9;M;14.8;;A;;0.14;;208.404;;;;;0.54;2;;;;;;Y
112441;2002 OL3;2002 OL3;EOS;A;S;C;;7.09;M;13.5;;A;;0.14;;7.378;;;;0.82;0.83;2;;;;Y;;Y
113187;2002 RN106;2002 RN106;EOS;A;S;C;;4.47;M;14.5;;A;;0.14;;12.077;;;;;0.61;2;;;;;;Y
120101;2003 FP5;2003 FP5;EOS;A;S;C;;2.9;T;15.44;;A;;0.14;;5.4;;;;;0.52;2;;;;;;Y
120540;1994 SK13;1994 SK13;EOS;A;S;C;;2.86;T;15.47;;A;;0.14;;78.268;;;;;0.81;2;;;;;;Y
127311;2002 JV90;2002 JV90;EOS;A;S;C;;3.55;M;15;;A;;0.14;;2.82;;;;0.3;0.36;2;;;;;;
132893;2002 RY184;2002 RY184;EOS;A;S;C;;3.37;T;15.12;;A;;0.14;;12.67;;;;;0.59;2;;;;;;Y
135456;2001 VA51;2001 VA51;EOS;A;S;C;;3.47;T;15.05;;A;;0.14;;8.05;;;;;1.06;2;;;;;;Y
140428;2001 TT94;2001 TT94;EOS;A;S;C;;3.9;M;14.8;;A;;0.14;;2.5;;;;;0.46;2;-;;;;;
140429;2001 TQ96;2001 TQ96;EOS;A;S;C;;3.15;T;15.26;;A;;0.14;;39.8;;;;;0.19;2;-;;;;;
151357;2002 CN304;2002 CN304;EOS;A;S;C;;2.9;T;15.44;;A;;0.14;;5.601;;;;;0.63;2;;;;;;Y
152361;2005 UX140;2005 UX140;EOS;A;S;W;;4.06;3 W;14.9;;W;;0.1173;S;3.6623;;;;;;;N;;;Y;;
159844;2003 WA12;2003 WA12;EOS;A;S;C;;3.04;T;15.34;;A;;0.14;;5.98;;;;;0.36;2;;;;;;Y
163555;2002 TK117;2002 TK117;EOS;A;S;C;;3.39;M;15.1;;A;;0.14;;;;;;;;;HN;;;;;Y
167631;2004 CE87;2004 CE87;EOS;A;S;C;;3.39;M;15.1;;A;;0.14;;10.348;;;;0.33;0.41;2;;;;;;Y
177075;2003 FR36;2003 FR36;EOS;A;S;D;;2.29;T;15.95;;A;;0.14;;6.818;;;;;0.37;2;+;;;;;
178014;2006 RG;2006 RG;EOS;A;S;C;;2.9;T;15.44;;A;;0.14;;16.27;;;;;0.48;2;;;;;;Y
184616;2005 RE11;2005 RE11;EOS;A;S;C;;2.88;T;15.46;;A;;0.14;;375.355;;;;;0.86;2;;;;;;Y
195704;2002 PH35;2002 PH35;EOS;A;S;C;;2.5;T;15.76;;A;;0.14;;10.294;;;;;0.36;2;;;;;;Y
196806;2003 SQ218;2003 SQ218;EOS;A;S;C;;2.66;T;15.63;;A;;0.14;;3.26;;;;;0.3;2;;;;;;Y
201297;2002 SK60;2002 SK60;EOS;A;S;C;;2.21;T;16.03;;A;;0.14;;8.42;;;;;0.83;2;-;;;;;Y
201369;2002 TA278;2002 TA278;EOS;A;S;C;;3.72;M;14.9;;A;;0.14;;5.275;;;;0.74;0.77;2;;;;;;Y
202321;2005 EG55;2005 EG55;EOS;A;S;C;;2.01;T;16.24;;A;;0.14;;3.458;;;;;0.59;2;;;;;;Y
213779;2003 EP14;2003 EP14;EOS;A;C;C;;2.95;M;15.4;;A;;0.14;;5.55;;;;;0.96;2;;;;;;Y
224958;2007 EM18;2007 EM18;EOS;A;S;C;;2.24;M;16;;A;;0.14;;;;;;;;;HN;;;;;Y
226971;2004 VH112;2004 VH112;EOS;A;S;C;;2.3;T;15.94;;A;;0.14;;6.08;;;;;0.76;2;;;;;;Y
237286;2008 XB21;2008 XB21;EOS;A;S;C;;3.09;M;15.3;;A;;0.14;;;;;;;;;HN;;;;;Y
249738;2000 SB159;2000 SB159;EOS;A;S;D;;2.21;T;16.03;;A;;0.14;;41.2;;;;;0.11;1;+;;;;;
255093;2005 UW48;2005 UW48;EOS;A;S;C;;2.15;T;16.09;;A;;0.14;;3.158;;;;;0.41;2;;;;;;Y
274707;2008 UG100;2008 UG100;EOS;A;S;C;;2.09;T;16.15;;A;;0.14;;6.082;;;;;0.76;2;;;;;;Y
286096;2001 TR47;2001 TR47;EOS;A;S;C;;2.08;T;16.16;;A;;0.14;;11.03;;;;;0.62;2;;;;;;Y
287471;2003 AK46;2003 AK46;EOS;A;S;C;;2.53;T;15.74;;A;;0.14;;2.75;;;;;0.33;2;;;;;;Y
288286;2004 AT12;2004 AT12;EOS;A;S;C;;2.69;M;15.6;;A;;0.14;;;;;;;;;HN;;;;;Y
324798;2007 HO20;2007 HO20;EOS;A;S;C;;2.03;T;16.22;;A;;0.14;;6.08;;;;;1.31;2;-;;;;;Y
346759;2009 BV46;2009 BV46;EOS;A;S;C;;1.82;T;16.45;;A;;0.14;;4.85;;;;;0.8;2;;;;;;Y
353778;2012 HA77;2012 HA77;EOS;A;S;C;;2.4;T;15.85;;A;;0.14;;5.39;;;;;0.64;2;+;;;;;Y
357911;2005 VR131;2005 VR131;EOS;A;S;C;;2.24;M;16;;A;;0.14;;5.2737;;;;;0.36;1;NA;;;;;
362493;2010 TM25;2010 TM25;EOS;A;S;C;;2.17;T;16.08;;A;;0.14;;6.742;;;;;0.73;2;;;;;;Y
370227;2002 OC27;2002 OC27;EOS;A;S;C;;2.06;T;16.18;;A;;0.14;;3.926;;;;;0.57;2;;;;;;Y
385893;2006 SJ232;2006 SJ232;EOS;A;S;C;;2.05;T;16.19;;A;;0.14;;5.58;;;;;0.54;2;;;;;;Y
397062;2005 UX149;2005 UX149;EOS;A;S;C;;1.78;T;16.5;;A;;0.14;;3.559;;;;;0.54;2;;;;;;Y
425326;2010 AS55;2010 AS55;EOS;A;S;C;;1.56;T;16.78;;A;;0.14;;4.16;;;;;0.83;3;-;;;;;Y
428958;2008 YM91;2008 YM91;EOS;A;S;C;;2.24;M;16;;A;;0.14;;;;;;;;;HN;;;;;Y
;2011 WJ33;2011 WJ33;EOS;A;S;M;;2.82;M;15.5;;A;;0.14;>;1.33;;;>;;0.16;;;;;;Y;
