NUMBER;NAME;DESIG;FAM;S;CLASS;S;F;DIA.;S;H;B;S;F;ALBEDO;F;PERIOD;P;DESC;F;AMIN;AMAX;U;NOTES;BIN;PRI;SAM;SD;WF
18641;1998 EG10;1998 EG10;V;A;S;C;;4.93;M;13.9;;A;;0.2;;5.2461;;;;0.57;0.97;3;;;;Y;;
18671;Zacharyric;e                    1998 FX64;V;A;S;C;;4.71;M;14;;A;;0.2;;3.306;;;;;0.16;2;;;;;;Y
18804;1999 JS77;1999 JS77;V;A;S;C;;5.15;T;13.8;;A;;0.2;;9.404;;;;;0.09;1;;;;;;Y
19298;Zhongkeda;1996 SU4;V;A;S;C;;2.92;T;15.04;;A;;0.2;;78.54;;;;;0.77;2;;;;;;Y
19979;1989 VJ;1989 VJ;V;A;V;C;;5.28;M;13;;A;;0.4;;7.568;;;;;0.29;2;+;;;;;
19985;* 1990 GD;1990 GD;V;A;S;C;;3.74;M;14.5;;A;;0.2;S;5.3265;;;;;;2;N;;;Y;;
20312;Danahy;1998 FH118;V;A;S;C;;3.82;T;14.45;;A;;0.2;;4.569;;;;;0.22;2;;;;;;Y
20325;Julianoey;1998 HO27;V;A;S;C;;6.81;M;13.2;;A;;0.2;;3.2447;;;;;0.13;3;N;B;;;;
20329;Manfro;1998 HQ43;V;A;S;C;;3.41;M;14.7;;A;;0.2;S;8.8072;;;;;;2;N;;;Y;Y;
20419;1998 SE117;1998 SE117;V;A;S;C;;5.16;M;13.8;;A;;0.2;;5.5;;;;0.31;0.79;2;;;;;;Y
20465;Vervack;1999 MJ1;V;A;S;C;;2.84;T;15.1;;A;;0.2;;3.14;;;;;0.26;2;;;;;;Y
20809;Eshinjolly;2000 SW259;V;A;S;C;;4.1;M;14.3;;A;;0.2;;4.304;;;;;0.44;2;;;;;;Y
20873;Evanfrank;2000 VH49;V;A;S;C;;3.53;T;14.63;;A;;0.2;;4.106;;;;;0.36;2;;;;;;Y
21067;1991 PY1;1991 PY1;V;A;S;C;;2.44;T;15.43;;A;;0.2;;2.058;;;;;0.1;1;;;;;;Y
21126;Katsuyoshi;1993 BJ2;V;A;S;C;;6.21;M;13.4;;A;;0.2;;5.8397;;;;;0.24;3;;;;;;
21338;1997 CZ;1997 CZ;V;A;S;C;;3.9;T;14.41;;A;;0.2;;16.838;;;;;0.15;2;;;;;;Y
21341;1997 CV19;1997 CV19;V;A;S;C;;3.93;T;14.4;;A;;0.2;;3.502;;;;;0.56;2;;;;;;Y
21361;Carsonmark;1997 HQ;V;A;S;C;;3.92;T;14.4;;A;;0.2;;20.22;;;;;0.4;1;D;;;;;Y
21411;Abifraeman;1998 FY66;V;A;S;C;;5.41;M;13.7;;A;;0.2;S;11.0202;;;;;;2;N;;;Y;Y;
21485;Ash;1998 HV137;V;A;S;C;;2.31;T;15.55;;A;;0.2;;12.26;;;;;0.76;2;;;;;;Y
21770;Wangyiran;1999 RF211;V;A;S;C;;3.17;T;14.86;;A;;0.2;;7.862;;;;;0.37;2;;;;;;Y
22411;1995 TR;1995 TR;V;A;S;C;;3.81;T;14.46;;A;;0.2;;5.262;;;;;0.23;2;;;;;;Y
22586;Shellyhyne;s                    1998 HC96;V;A;S;C;;2.42;T;15.44;;A;;0.2;;23.6;;;;;0.1;1;;;;;;Y
22666;Josephchur;ch                   1998 QE24;V;A;S;C;;3.5;T;14.65;;A;;0.2;;5.218;;;;;0.22;2;;;;;;Y
22696;1998 QT105;1998 QT105;V;A;S;C;;4.1;M;14.3;;A;;0.2;;7.8;;;;;0.26;2;;;;;;
23002;Jillhirsch;1999 VX92;V;A;S;C;;2.56;T;15.32;;A;;0.2;;6.62;;;;;0.52;2;;;;;;Y
23168;Laurieflet;ch                   2000 GZ136;V;A;S;C;;3.57;M;14.6;;A;;0.2;;;;;;;;;HN;;;;;Y
23177;2000 JD58;2000 JD58;V;A;S;C;;5.66;M;13.6;;A;;0.2;;4.3819;;;;;0.59;3;;;;Y;;
23588;1995 UX3;1995 UX3;V;A;S;C;;2.95;T;15.02;;A;;0.2;;7.197;;;;;0.15;2;;;;;;Y
23705;1997 SQ14;1997 SQ14;V;A;S;C;;3.77;T;14.49;;A;;0.2;;82.636;;;;;1.15;2;;;;;;Y
23740;1998 KP3;1998 KP3;V;A;S;C;;2.86;T;15.08;;A;;0.2;;9.564;;;;;0.08;1;;;;;;Y
23750;Stepciecha;n                    1998 KQ35;V;A;S;C;;2.38;T;15.48;;A;;0.2;;10.278;;;;;0.76;2;;;;;;Y
23766;1998 MZ23;1998 MZ23;V;A;S;C;;6.5;M;13.3;;A;;0.2;;2.721;;;;;0.18;3;;;;;;
23804;Haber;1998 QR39;V;A;S;C;;2.68;T;15.22;;A;;0.2;;532.24;;;;;0.63;2;;;;;;Y
23809;Haswell;1998 QC44;V;A;S;D;;3.07;L;14.97;;A;;0.2;;3.59;;;;;0.16;2;-;;;;;
24115;1999 VH24;1999 VH24;V;A;S;C;;3.42;T;14.69;;A;;0.2;;2.635;;;;;0.18;2;;;;;;Y
24147;Stefanmull;er                   1999 VH162;V;A;S;C;;2.02;T;15.83;;A;;0.2;;5.938;;;;;0.69;2;;;;;;Y
24188;* Matthewage;1999 XS24;V;A;S;C;;3.92;M;14.4;;A;;0.2;S;70.555;;;;;;2;N;;;Y;;
24201;Davidkeith;1999 XL40;V;A;S;C;;2.21;T;15.64;;A;;0.2;;12.774;;;;;0.14;2;;;;;;Y
25368;Gailcolwel;l                    1999 TQ96;V;A;S;C;;2.1;T;15.75;;A;;0.2;;6.805;;;;;0.68;2;;;;;;Y
25468;Ramakrishn;a                    1999 XS33;V;A;S;C;;4.29;M;14.2;;A;;0.2;;5.573;;;;;0.48;2;H;;;;;Y
25542;* Garabedian;1999 XH160;V;A;S;C;;3.26;M;14.8;;A;;0.2;S;10.5523;;;;;;2;N;;;Y;;
25549;Jonsauer;1999 XZ167;V;A;S;C;;2.32;T;15.54;;A;;0.2;;2.124;;;;;0.27;2;;;;;;Y
26021;4177 P-L;4177 P-L;V;A;S;C;;2.17;T;15.68;;A;;0.2;;72.725;;;;;0.86;2;;;;;;Y
26084;1981 EK17;1981 EK17;V;A;S;C;;2.83;T;15.11;;A;;0.2;;121.957;;;;;0.68;2;;;;;;Y
26203;1997 KS;1997 KS;V;A;S;C;;3.68;T;14.54;;A;;0.2;;12.857;;;;0.17;0.18;3;;;;;;
26230;1998 QR1;1998 QR1;V;A;S;C;;3.12;T;14.9;;A;;0.2;;7.318;;;;;0.68;2;;;;;;Y
26284;1998 SZ59;1998 SZ59;V;A;S;C;;2.93;T;15.03;;A;;0.2;;7.501;;;;;0.22;2;;;;;;Y
26736;Rojeski;2001 HM27;V;A;S;C;;2.04;T;15.81;;A;;0.2;;12.343;;;;;0.39;2;;;;;;Y
26800;Gualtierot;rucco                1981 EK1;V;A;S;C;;2.44;T;15.43;;A;;0.2;;6.82;;;;;0.51;2;;;;;;Y
27018;1998 KQ52;1998 KQ52;V;A;S;C;;2.73;T;15.18;;A;;0.2;;5.733;;;;;0.41;2;;;;;;Y
27068;1998 SU74;1998 SU74;V;A;S;C;;4.1;M;14.3;;A;;0.2;;4.011;;;;;0.21;2;+;;;;;
27094;Salgari;1998 UC23;V;A;S;C;;2.79;T;15.14;;A;;0.2;;6.694;;;;0.32;0.4;2;;;;;;Y
27162;1999 AM6;1999 AM6;V;A;S;C;;4.67;T;14.02;;A;;0.2;;8.808;;;;;0.38;2;;;;;;Y
27243;1999 UK24;1999 UK24;V;A;S;C;;3.66;T;14.55;;A;;0.2;;2.994;;;;;0.27;2;;;;;;Y
27529;2000 HJ64;2000 HJ64;V;A;S;C;;3.92;M;14.4;;A;;0.2;;4.129;;;;;0.51;2;A;;;;;
27880;1996 EQ;1996 EQ;V;A;S;C;;2.13;T;15.73;;A;;0.2;;4.998;;;;;0.58;2;;;;;;Y
28162;1998 VD14;1998 VD14;V;A;S;C;;4.52;T;14.09;;A;;0.2;;3.82;;;;;0.1;1;+;;;;;Y
28461;2000 AL164;2000 AL164;V;A;V;C;;5.93;M;13.5;;A;;0.2;;3.44;;;;;0.09;1;+;;;;;
28572;Salebreton;2000 EH79;V;A;S;C;;2.52;T;15.36;;A;;0.2;;6.36;;;;;0.25;2;+;;;;;Y
28590;2000 EX126;2000 EX126;V;A;S;C;;3.11;M;14.9;;A;;0.2;;6.253;;;;;0.34;2;;;;;;Y
28656;Doreencurt;in                   2000 GH28;V;A;S;C;;2.49;T;15.39;;A;;0.2;;3.771;;;;;0.16;2;;;;;;Y
29140;1988 CG4;1988 CG4;V;A;S;C;;2.43;T;15.44;;A;;0.2;;2.99;;;;;0.32;2;;;;;;Y
29194;1990 WJ4;1990 WJ4;V;A;S;C;;3.92;M;14.4;;A;;0.2;;6.02;;;;0.36;0.67;2;;;;;;Y
29388;1996 JD6;1996 JD6;V;A;S;C;;3.26;M;14.8;;A;;0.2;;6.798;;;;0.21;0.23;2;;;;;;Y
29733;1999 BA4;1999 BA4;V;A;S;C;;3.88;T;14.42;;A;;0.2;;849.186;;;;;0.74;2;;;;;;Y
30111;Wendyslijk;2000 FJ20;V;A;S;C;;2.04;T;15.82;;A;;0.2;;16.968;;;;0.63;0.69;2;;;;;;Y
30141;Nelvenzon;2000 GT24;V;A;S;C;;2.36;M;15.5;;A;;0.2;;20.735;;;;;0.45;2;;;;;;Y
30329;2000 JR23;2000 JR23;V;A;S;C;;4.1;M;14.3;;A;;0.2;;28.4;;;;;0.95;2;#NAME?;;;;;Y
30570;2001 OO96;2001 OO96;V;A;S;C;;3.2;T;14.84;;A;;0.2;;4.587;;;;;0.71;2;;;;;;Y
31604;* 1999 GH4;1999 GH4;V;A;S;C;;3.74;M;14.5;;A;;0.2;S;13.1009;;;;;;2;N;;;Y;;
31737;Carriecoom;bs                   1999 JT75;V;A;S;C;;4.1;M;14.3;;A;;0.2;;6.93;;;;0.5;0.55;2;;;;;;Y
31888;Polizzi;2000 FM35;V;A;S;C;;2.21;T;15.64;;A;;0.2;;5.13;;;;0.26;0.27;2;;;;;;Y
32166;2000 NN6;2000 NN6;V;A;S;C;;3.11;M;14.9;;A;;0.2;;4.412;;;;;0.51;2;;;;;;Y
32212;2000 OV11;2000 OV11;V;A;S;C;;3.69;T;14.53;;A;;0.2;;6.729;;;;;0.55;2;;;;;;Y
32232;2000 OU27;2000 OU27;V;A;S;C;;5.16;M;13.8;;A;;0.2;;5.68;;;;0.19;0.36;2;+;;;;;Y
32522;Judieperso;ns                   2001 OE81;V;A;S;C;;3.57;M;14.6;;A;;0.2;;3.62;;;;0.26;0.27;2;;;;;;Y
32678;7566 P-L;7566 P-L;V;A;S;C;;3.41;M;14.7;;A;;0.2;;6.985;;;;;0.29;2;;;;;;Y
33440;1999 FR18;1999 FR18;V;A;S;C;;3.11;M;14.9;;A;;0.2;;3.745;;;;;0.67;2;;;;;;Y
33684;Xiaomichae;l                    1999 JW119;V;A;S;C;;3.41;M;14.7;;A;;0.2;;5.87;;;;;0.66;2;-;;;;;
33974;2000 ND17;2000 ND17;V;A;C;C;;3.26;M;14.8;;A;;0.2;S;4.6787;;;;;;2;N;;;Y;Y;
35971;1999 LJ26;1999 LJ26;V;A;S;C;;3.32;T;14.76;;A;;0.2;;9.328;;;;;0.1;1;;;;;;Y
37088;2000 UE70;2000 UE70;V;A;S;C;;2.63;T;15.26;;A;;0.2;;3.359;;;;;0.38;2;;;;;;Y
37445;3056 P-L;3056 P-L;V;A;S;C;;2.69;T;15.22;;A;;0.2;;;;;;;0.79;;;;;;;Y
37776;1997 GW28;1997 GW28;V;A;S;C;;1.57;T;16.39;;A;;0.2;;42.409;;;;;0.78;2;;;;;;Y
38706;2000 QP83;2000 QP83;V;A;S;C;;2.79;T;15.13;;A;;0.2;;7.848;;;;;0.41;2;;;;;;Y
38879;2000 SO121;2000 SO121;V;A;S;C;;2.71;M;15.2;;A;;0.2;;5.537;;;;;0.57;2;;;;;;Y
41467;2000 OG29;2000 OG29;V;A;S;C;;2.59;M;15.3;;A;;0.2;;6.8;;;;;0.8;2;A;;;;;
41730;2000 UF96;2000 UF96;V;A;S;C;;1.6;T;16.35;;A;;0.2;;18.224;;;;;0.61;2;;;;;;Y
42644;1998 FE67;1998 FE67;V;A;S;C;;3.21;T;14.83;;A;;0.2;>;16;;;>;;0.3;2;-;;;;;Y
42866;1999 RJ104;1999 RJ104;V;A;S;C;;3.1;T;14.91;;A;;0.2;;42.227;;;;;0.11;2;;;;;;Y
42918;1999 SK4;1999 SK4;V;A;S;C;;2.67;T;15.23;;A;;0.2;;4.393;;;;;0.23;2;;;;;;Y
42950;1999 TF101;1999 TF101;V;A;S;C;;2.43;T;15.44;;A;;0.2;;7.672;;;;;0.76;2;;;;;;Y
42979;1999 TR220;1999 TR220;V;A;S;C;;2.28;T;15.57;;A;;0.2;;3.498;;;;0.38;0.56;2;;;;;;Y
43064;1999 VK114;1999 VK114;V;A;S;C;;4.5;M;14.1;;A;;0.2;;8.856;;;;;0.6;1;;;;;;
43662;2002 FP8;2002 FP8;V;A;S;C;;2.36;M;15.5;;A;;0.2;;4.5;;;;;0.67;2;;;;;;
44534;1998 YZ9;1998 YZ9;V;A;S;C;;2.36;M;15.5;;A;;0.2;;45;;;;;0.75;2;ADT0;;;;;Y
44578;1999 GL25;1999 GL25;V;A;S;C;;2.45;T;15.42;;A;;0.2;;3.76;;;;0.32;0.34;2;;;;;;Y
44627;1999 RN71;1999 RN71;V;A;S;C;;3.38;T;14.72;;A;;0.2;;6.36;;;;;0.9;2;;;;;;Y
44864;1999 UJ23;1999 UJ23;V;A;S;C;;2;T;15.86;;A;;0.2;;9.121;;;;;0.51;2;;;;;;Y
45270;2000 AT8;2000 AT8;V;A;S;C;;2.8;T;15.13;;A;;0.2;;7.851;;;;;0.84;2;;;;;;Y
46075;2001 EK3;2001 EK3;V;A;S;C;;1.76;T;16.14;;A;;0.2;;9.585;;;;;0.54;2;;;;;;Y
46475;3204 T-1;3204 T-1;V;A;S;C;;3.48;T;14.66;;A;;0.2;;3.327;;;;;0.04;1;;;;;;Y
46656;1995 WT6;1995 WT6;V;A;S;C;;2.72;T;15.19;;A;;0.2;;12.31;;;;;0.17;2;-;;;;;Y
46824;Tambora;1998 MT38;V;A;S;C;;2;L;15.9;;A;;0.2;;;;;;;;;N;;;;;
46831;1998 QH;1998 QH;V;A;S;C;;2.7;T;15.21;;A;;0.2;;4.287;;;;;0.5;2;;;;;;Y
46833;1998 QB8;1998 QB8;V;A;S;C;;2.2;T;15.65;;A;;0.2;;13.834;;;;;0.07;1;;;;;;Y
46869;1998 QC97;1998 QC97;V;A;S;C;;2.17;T;15.68;;A;;0.2;;8.825;;;;;0.29;2;;;;;;Y
47271;1999 VY143;1999 VY143;V;A;S;C;;2.98;T;14.99;;A;;0.2;;6.902;;;;;0.56;2;;;;;;Y
47332;1999 XC32;1999 XC32;V;A;S;C;;2.39;T;15.47;;A;;0.2;;3.992;;;;;0.35;2;;;;;;Y
47369;1999 XA88;1999 XA88;V;A;S;C;;4.34;T;14.18;;A;;0.2;;2.55;;;;;0.19;2;;;;;;Y
47406;1999 XV126;1999 XV126;V;A;S;C;;1.77;T;16.13;;A;;0.2;;5.838;;;;;0.38;2;;;;;;Y
47417;1999 XL160;1999 XL160;V;A;S;C;;4.58;T;14.06;;A;;0.2;;11.71;;;;;1.07;2;-;;;;;Y
47463;1999 XE258;1999 XE258;V;A;S;C;;2.76;T;15.16;;A;;0.2;;9.252;;;;;0.69;2;;;;;;Y
47488;2000 AZ32;2000 AZ32;V;A;S;C;;3.67;T;14.54;;A;;0.2;;3.358;;;;;0.11;2;;;;;;Y
47528;2000 AE95;2000 AE95;V;A;S;C;;2.31;T;15.55;;A;;0.2;;6.44;;;;;1.42;2;+;;;;;Y
48073;2001 FC13;2001 FC13;V;A;S;C;;3.11;M;14.9;;A;;0.2;;;;;;;;;;;;;;
48120;2001 FT97;2001 FT97;V;A;S;C;;2.14;T;15.72;;A;;0.2;;78.226;;;;;0.89;2;;;;;;Y
48134;2001 FD127;2001 FD127;V;A;S;C;;2.31;T;15.55;;A;;0.2;;5.778;;;;;0.65;2;;;;;;Y
48644;1995 UG7;1995 UG7;V;A;S;C;;2.81;T;15.12;;A;;0.2;;8.28;;;;;0.14;2;-;;;;;Y
48966;1998 QY34;1998 QY34;V;A;S;C;;2.61;T;15.28;;A;;0.2;;9.203;;;;;0.16;2;;;;;;Y
49059;1998 RP44;1998 RP44;V;A;S;C;;2.63;T;15.27;;A;;0.2;;4.737;;;;;0.67;2;;;;;;Y
49152;1998 SQ52;1998 SQ52;V;A;S;C;;2.72;T;15.19;;A;;0.2;;5.28;;;;;0.54;2;;;;;;Y
50025;2000 AR41;2000 AR41;V;A;S;C;;2.25;T;15.6;;A;;0.2;;11.003;;;;;0.63;2;;;;;;Y
50138;2000 AY128;2000 AY128;V;A;S;C;;1.98;T;15.88;;A;;0.2;;11.38;;;;;0.67;2;;;;;;Y
50156;2000 AN142;2000 AN142;V;A;S;C;;3.4;T;14.71;;A;;0.2;;4.956;;;;;0.29;2;;;;;;Y
50179;2000 AW163;2000 AW163;V;A;S;C;;1.59;T;16.35;;A;;0.2;;6.066;;;;;0.41;2;;;;;;Y
50248;2000 BB16;2000 BB16;V;A;S;C;;2.11;T;15.74;;A;;0.2;;16.659;;;;;0.09;1;;;;;;Y
50487;2000 DH85;2000 DH85;V;A;S;C;;2.59;M;15.3;;A;;0.2;;;;;;;;;HN;;;;;Y
50515;2000 DS105;2000 DS105;V;A;S;C;;2.44;T;15.43;;A;;0.2;;3.75;;;;;0.38;3;;;;;;Y
51160;2000 HR57;2000 HR57;V;A;S;C;;2.61;T;15.28;;A;;0.2;;5.397;;;;;0.52;2;;;;;;Y
51511;2001 FP98;2001 FP98;V;A;S;C;;2.59;M;15.3;;A;;0.2;;9.438;;;;;0.57;3;-;;;;;
51659;2001 JN1;2001 JN1;V;A;S;C;;2.19;T;15.66;;A;;0.2;;4.995;;;;;0.09;1;;;;;;Y
53533;2000 AA216;2000 AA216;V;A;S;C;;2.36;T;15.5;;A;;0.2;;5.674;;;;;0.51;2;;;;;;Y
53632;2000 CP123;2000 CP123;V;A;S;C;;1.87;T;16;;A;;0.2;;9.055;;;;;0.65;2;;;;;;Y
53930;2000 GO42;2000 GO42;V;A;S;C;;1.74;T;16.16;;A;;0.2;;10.593;;;;;0.52;2;;;;;;Y
54076;2000 GL154;2000 GL154;V;A;S;C;;2.03;T;15.83;;A;;0.2;;4.95;;;;;0.25;2;;;;;;Y
54397;2000 KC80;2000 KC80;V;A;S;C;;2.17;T;15.69;;A;;0.2;;7.354;;;;0.46;0.55;2;;;;;;Y
55128;2001 QH177;2001 QH177;V;A;S;C;;1.63;T;16.31;;A;;0.2;;3;;;;;0.18;2;;;;;;Y
55293;2001 SY39;2001 SY39;V;A;S;C;;1.55;T;16.41;;A;;0.2;;4.62;;;;;0.16;2;;;;;;Y
55459;2001 TW139;2001 TW139;V;A;S;C;;2;T;15.86;;A;;0.2;;11.308;;;;;0.6;2;;;;;;Y
55667;* 6691 P-L;6691 P-L;V;A;S;C;;3.41;M;14.7;;A;;0.2;S;58.545;;;;;;2;N;;;Y;;
56131;* 1999 CY48;1999 CY48;V;A;S;C;;4.29;M;14.2;;A;;0.2;S;4.3882;;;;;;2;N;;;Y;;
56394;2000 EB126;2000 EB126;V;A;S;C;;1.86;T;16.02;;A;;0.2;;9.32;;;;;0.57;2;+;;;;;Y
56515;2000 HD20;2000 HD20;V;A;S;C;;2.36;M;15.5;;A;;0.2;;;;;>;;0.05;;;;;;;Y
56647;2000 KG34;2000 KG34;V;A;S;C;;1.75;T;16.15;;A;;0.2;;7.418;;;;0.23;0.32;2;;;;;;Y
57679;2001 UD46;2001 UD46;V;A;S;M;;2.15;M;15.7;;A;;0.2;>;1;;;>;;0.08;;;;;;Y;
57815;2001 WV25;2001 WV25;V;A;S;C;;2.71;M;15.2;;A;;0.2;;6;;;;;0.3;2;-;;;;;Y
58623;1997 VZ1;1997 VZ1;V;A;S;C;;3.43;T;14.69;;A;;0.2;;10.194;;;;;0.64;2;;;;;;Y
58658;1997 WY57;1997 WY57;V;A;S;C;;2.06;M;15.8;;A;;0.2;;4.95;;;;0.21;0.33;2;;;;;;Y
58948;1998 QT54;1998 QT54;V;A;S;C;;3.64;T;14.56;;A;;0.2;;9.574;;;;;0.33;2;;;;;;Y
58999;1998 SP23;1998 SP23;V;A;S;C;;1.84;T;16.04;;A;;0.2;;10.785;;;;;0.26;2;;;;;;Y
59345;1999 CK135;1999 CK135;V;A;S;C;;3.11;M;14.9;;A;;0.2;;6.19;;;;;0.32;2;;;;;;Y
59489;1999 JQ2;1999 JQ2;V;A;S;C;;3.59;T;14.59;;A;;0.2;;5.455;;;;;0.54;2;;;;;;Y
60348;2000 AT81;2000 AT81;V;A;S;C;;1.84;T;16.04;;A;;0.2;;6.23;;;;;0.79;2;;;;;;Y
60507;2000 DG106;2000 DG106;V;A;S;C;;2.03;T;15.83;;A;;0.2;;9.411;;;;;0.54;2;;;;;;Y
60601;2000 EQ157;2000 EQ157;V;A;S;C;;2.25;T;15.61;;A;;0.2;;19.67;;;;;0.47;2;;;;;;Y
61036;2000 KC59;2000 KC59;V;A;S;C;;1.73;T;16.17;;A;;0.2;;6.617;;;;;0.71;2;;;;;;Y
61898;2000 QZ227;2000 QZ227;V;A;S;M;;2.36;M;15.5;;A;;0.2;>;0.57;;;>;;0.28;;;;;;Y;
63649;2001 QT105;2001 QT105;V;A;S;M;;2.84;M;15.1;;A;;0.2;;2.67;;;;;0.06;2;-;;;;Y;
63702;2001 QK182;2001 QK182;V;A;S;C;;2.77;T;15.15;;A;;0.2;;4.66;;;;;0.14;2;;;;;;Y
64419;2001 UG186;2001 UG186;V;A;S;C;;1.3;T;16.8;;A;;0.2;;14.33;;;;;0.48;2;;;;;;Y
64679;2001 XU68;2001 XU68;V;A;S;C;;2.36;M;15.5;;A;;0.2;;5.59;;;;;0.26;2;-;;;;;
64801;2001 XH210;2001 XH210;V;A;S;C;;1.61;T;16.33;;A;;0.2;;19.02;;;;;0.39;2;;;;;;Y
64939;2001 YP116;2001 YP116;V;A;S;C;;2.03;T;15.83;;A;;0.2;;32.956;;;;;0.49;2;;;;;;Y
64963;2001 YP144;2001 YP144;V;A;S;C;;2.06;M;15.8;;A;;0.2;;137.197;;;;0.64;0.65;2;;;;;;Y
65242;2002 EW115;2002 EW115;V;A;S;C;;2.2;T;15.65;;A;;0.2;;5.168;;;;;0.39;2;;;;;;Y
65345;2002 NF19;2002 NF19;V;A;S;C;;1.82;T;16.06;;A;;0.2;;14.148;;;;;0.35;2;;;;;;Y
65597;3047 T-3;3047 T-3;V;A;S;C;;2.84;M;15.1;;A;;0.2;;7.6;;;;;0.14;2;#NAME?;;;;;
66190;1998 YX5;1998 YX5;V;A;S;C;;2.01;T;15.84;;A;;0.2;;25.778;;;;;0.15;2;;;;;;Y
66295;1999 JC29;1999 JC29;V;A;S;C;;2.23;T;15.63;;A;;0.2;;5.551;;;;;0.59;2;;;;;;Y
67569;2000 SN101;2000 SN101;V;A;S;C;;1.67;T;16.25;;A;;0.2;;9.517;;;;;0.46;2;;;;;;Y
68518;2001 VM14;2001 VM14;V;A;S;C;;2.61;T;15.28;;A;;0.2;;7.16;;;;;0.12;2;;;;;;Y
69068;2003 AO32;2003 AO32;V;A;S;C;;2.33;T;15.53;;A;;0.2;;2.87;;;;;0.13;2;;;;;;Y
69076;2003 AC53;2003 AC53;V;A;S;C;;1.77;T;16.12;;A;;0.2;;4.829;;;;;0.63;2;;;;;;Y
69267;* 1988 RO6;1988 RO6;V;A;S;C;;4.1;M;14.3;;A;;0.2;S;6.4437;;;;;;2;N;;;Y;;
70199;1999 RL22;1999 RL22;V;A;S;C;;2.58;T;15.31;;A;;0.2;;6.738;;;;;0.21;2;;;;;;Y
70202;1999 RR24;1999 RR24;V;A;S;C;;3.04;T;14.95;;A;;0.2;;6.505;;;;;0.82;2;;;;;;Y
70301;1999 RZ130;1999 RZ130;V;A;S;C;;2.3;T;15.56;;A;;0.2;;9.561;;;;;0.33;2;;;;;;Y
70559;1999 TD143;1999 TD143;V;A;S;C;;3.44;T;14.68;;A;;0.2;;6.446;;;;;0.09;1;;;;;;Y
70872;* 1999 VP157;1999 VP157;V;A;S;C;;2.84;M;15.1;;A;;0.2;S;15.4956;;;;;;2;N;;;Y;;
70918;1999 VY195;1999 VY195;V;A;S;C;;2.29;T;15.57;;A;;0.2;;3.202;;;;;0.09;1;;;;;;Y
70973;* 1999 XY20;1999 XY20;V;A;S;C;;3.92;M;14.4;;A;;0.2;S;13.2889;;;;;;2;N;;;Y;;
74056;1998 KM9;1998 KM9;V;A;S;C;;2.47;M;15.4;;A;;0.2;;17.4;;;;;0.5;2;;;;;;
74219;1998 RM78;1998 RM78;V;A;S;C;;5.41;M;13.7;;A;;0.2;;5.7;;;;;0.41;2;-;;;;;
74692;1999 RF134;1999 RF134;V;A;S;C;;1.88;T;16;;A;;0.2;;2.241;;;;;0.1;1;;;;;;Y
74890;1999 TW116;1999 TW116;V;A;S;C;;1.75;T;16.15;;A;;0.2;;4.62;;;;;0.45;1;+;;;;;Y
75045;1999 UK43;1999 UK43;V;A;S;C;;2.63;T;15.26;;A;;0.2;;2.282;;;;;0.08;1;;;;;;Y
75166;1999 VH124;1999 VH124;V;A;S;C;;1.68;T;16.24;;A;;0.2;;2.92;;;;;0.48;1;;;;;;Y
75209;1999 VM192;1999 VM192;V;A;S;C;;2.44;T;15.43;;A;;0.2;;6.44;;;;;0.36;2;;;;;;Y
75277;1999 XN19;1999 XN19;V;A;S;C;;2.33;T;15.53;;A;;0.2;;3.607;;;;;0.09;1;;;;;;Y
75364;1999 XZ74;1999 XZ74;V;A;S;C;;2.68;T;15.22;;A;;0.2;;33.567;;;;;0.72;2;;;;Y;;Y
75403;1999 XH102;1999 XH102;V;A;S;C;;2.28;T;15.58;;A;;0.2;;7.139;;;;;0.3;2;;;;;;Y
75423;1999 XO119;1999 XO119;V;A;S;C;;2.42;T;15.45;;A;;0.2;;2.552;;;;;0.3;2;;;;;;Y
